zip_code,public_transportation_pct,public_transportation_population,minimo,maximo
25115,,,25115.0,25115.0
25061,,,25061.0,25061.0
25180,,,25180.0,25180.0
25403,2.0,121.0,2.0,25403.0
25093,,,25093.0,25093.0
25811,,,25811.0,25811.0
25203,,,25203.0,25203.0
25156,,,25156.0,25156.0
25201,,,25201.0,25201.0
25405,0.6,42.0,0.6,25405.0
25876,,,25876.0,25876.0
25142,,,25142.0,25142.0
25062,,,25062.0,25062.0
25185,,,25185.0,25185.0
25432,,,25432.0,25432.0
25911,,,25911.0,25911.0
25906,,,25906.0,25906.0
25430,1.7,66.0,1.7,25430.0
25854,,,25854.0,25854.0
25112,,,25112.0,25112.0
25969,,,25969.0,25969.0
25404,0.9,87.0,0.9,25404.0
25420,1.0,19.0,1.0,25420.0
25425,3.2,211.0,3.2,25425.0
25431,,,25431.0,25431.0
25534,,,25534.0,25534.0
25541,0.6,25.0,0.6,25541.0
25841,7.0,8.0,7.0,25841.0
25696,,,25696.0,25696.0
25705,1.7,150.0,1.7,25705.0
25820,,,25820.0,25820.0
25855,,,25855.0,25855.0
25865,0.8,4.0,0.8,25865.0
25875,,,25875.0,25875.0
25878,,,25878.0,25878.0
25555,,,25555.0,25555.0
25607,,,25607.0,25607.0
25630,,,25630.0,25630.0
25649,,,25649.0,25649.0
25879,,,25879.0,25879.0
25880,,,25880.0,25880.0
25908,,,25908.0,25908.0
25921,,,25921.0,25921.0
25936,,,25936.0,25936.0
25942,,,25942.0,25942.0
25007,,,25007.0,25007.0
25008,,,25008.0,25008.0
25011,,,25011.0,25011.0
25015,0.8,14.0,0.8,25015.0
25024,,,25024.0,25024.0
25031,,,25031.0,25031.0
25040,,,25040.0,25040.0
25047,,,25047.0,25047.0
25064,0.8,35.0,0.8,25064.0
25070,,,25070.0,25070.0
25508,,,25508.0,25508.0
25523,0.3,3.0,0.3,25523.0
25530,0.8,20.0,0.8,25530.0
25537,,,25537.0,25537.0
25540,,,25540.0,25540.0
25550,,,25550.0,25550.0
25557,,,25557.0,25557.0
25567,,,25567.0,25567.0
25573,,,25573.0,25573.0
25652,,,25652.0,25652.0
25670,0.2,3.0,0.2,25670.0
25692,,,25692.0,25692.0
25049,,,25049.0,25049.0
25071,1.3,61.0,1.3,25071.0
25088,,,25088.0,25088.0
25107,,,25107.0,25107.0
25113,3.4,11.0,3.4,25113.0
25124,,,25124.0,25124.0
25134,,,25134.0,25134.0
25140,,,25140.0,25140.0
25161,,,25161.0,25161.0
25204,,,25204.0,25204.0
25208,,,25208.0,25208.0
25209,,,25209.0,25209.0
25248,,,25248.0,25248.0
25276,,,25276.0,25276.0
25442,1.9,17.0,1.9,25442.0
25502,,,25502.0,25502.0
25524,,,25524.0,25524.0
25529,,,25529.0,25529.0
25559,,,25559.0,25559.0
25611,,,25611.0,25611.0
25624,,,25624.0,25624.0
25625,,,25625.0,25625.0
25634,,,25634.0,25634.0
25674,,,25674.0,25674.0
25676,,,25676.0,25676.0
25702,1.2,31.0,1.2,25702.0
25832,,,25832.0,25832.0
25845,,,25845.0,25845.0
25846,,,25846.0,25846.0
25882,,,25882.0,25882.0
25962,2.1,26.0,2.1,25962.0
25907,,,25907.0,25907.0
25920,,,25920.0,25920.0
25951,,,25951.0,25951.0
25704,1.1,74.0,1.1,25704.0
25826,,,25826.0,25826.0
25849,,,25849.0,25849.0
25864,,,25864.0,25864.0
25904,,,25904.0,25904.0
25958,,,25958.0,25958.0
25003,,,25003.0,25003.0
25019,,,25019.0,25019.0
25045,0.2,3.0,0.2,25045.0
25063,,,25063.0,25063.0
25081,,,25081.0,25081.0
25083,1.6,7.0,1.6,25083.0
25984,,,25984.0,25984.0
25985,,,25985.0,25985.0
25932,,,25932.0,25932.0
25848,,,25848.0,25848.0
25870,,,25870.0,25870.0
25902,,,25902.0,25902.0
25916,,,25916.0,25916.0
25313,0.3,17.0,0.3,25313.0
25443,3.5,126.0,3.5,25443.0
25504,,,25504.0,25504.0
25505,,,25505.0,25505.0
25506,,,25506.0,25506.0
25517,,,25517.0,25517.0
25021,,,25021.0,25021.0
25043,,,25043.0,25043.0
25048,,,25048.0,25048.0
25053,,,25053.0,25053.0
25075,,,25075.0,25075.0
25076,,,25076.0,25076.0
25085,,,25085.0,25085.0
25090,,,25090.0,25090.0
25102,,,25102.0,25102.0
25103,,,25103.0,25103.0
25126,100.0,24.0,24.0,25126.0
25917,,,25917.0,25917.0
25868,,,25868.0,25868.0
25871,,,25871.0,25871.0
25913,,,25913.0,25913.0
25922,,,25922.0,25922.0
25005,,,25005.0,25005.0
25844,,,25844.0,25844.0
25823,,,25823.0,25823.0
25827,,,25827.0,25827.0
25831,2.1,10.0,2.1,25831.0
25915,,,25915.0,25915.0
25918,,,25918.0,25918.0
25938,,,25938.0,25938.0
25978,,,25978.0,25978.0
25202,,,25202.0,25202.0
25213,,,25213.0,25213.0
25235,,,25235.0,25235.0
25245,,,25245.0,25245.0
25268,,,25268.0,25268.0
25286,,,25286.0,25286.0
25303,2.2,77.0,2.2,25303.0
25311,6.6,332.0,6.6,25311.0
25419,0.7,38.0,0.7,25419.0
25434,,,25434.0,25434.0
25446,,,25446.0,25446.0
25106,,,25106.0,25106.0
25130,,,25130.0,25130.0
25141,,,25141.0,25141.0
25164,,,25164.0,25164.0
25165,,,25165.0,25165.0
25169,,,25169.0,25169.0
25174,,,25174.0,25174.0
25177,0.7,73.0,0.7,25177.0
25193,,,25193.0,25193.0
25025,,,25025.0,25025.0
25054,,,25054.0,25054.0
25119,,,25119.0,25119.0
25121,,,25121.0,25121.0
25132,,,25132.0,25132.0
25133,,,25133.0,25133.0
25243,,,25243.0,25243.0
25252,,,25252.0,25252.0
25259,,,25259.0,25259.0
25265,,,25265.0,25265.0
25285,3.6,6.0,3.6,25285.0
25287,,,25287.0,25287.0
25214,,,25214.0,25214.0
25241,,,25241.0,25241.0
25306,2.6,82.0,2.6,25306.0
25422,,,25422.0,25422.0
25427,0.5,33.0,0.5,25427.0
25437,,,25437.0,25437.0
25512,,,25512.0,25512.0
25521,,,25521.0,25521.0
25526,,,25526.0,25526.0
25545,,,25545.0,25545.0
25637,,,25637.0,25637.0
25638,,,25638.0,25638.0
